"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-3.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node3_dstat_startserver.csv",,,,"Date:","03 May 2019 23:06:47 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.014,0.012,99.959,0.015,0,5247.782,62558.064,0,0,0,0,415.671,79.411
0,0,100,0,0,0,0,18420,0,0,0,379,39
0,0.031,99.969,0,0,0,0,17760,0,0,0,358,104
0,0,99.937,0.063,0,0,102400,16740,0,0,0,333,42
0,0,100,0,0,0,0,15480,0,0,0,280,27
0,0,100,0,0,0,0,16500,0,0,0,321,27
0,0,100,0,0,0,0,16500,0,0,0,330,93
0,0,100,0,0,0,0,16860,0,0,0,328,29
0,0,100,0,0,0,0,18599,1393,0,0,427,55
1.220,0.407,98.343,0.031,0,0,12288,27497,8421,0,0,2310,1313
0,0.031,99.969,0,0,0,0,112592,8450,0,0,753,658
0.156,0.125,99.718,0,0,0,0,99967,9447,0,0,1163,919
4.784,8.036,87.179,0,0,0,0,18678,1144,0,0,4693,253259
0.813,0.407,98.780,0,0,0,0,17430,1614,0,0,567,25443
0,0,99.875,0.125,0,0,299008,17580,0,0,0,392,112
0,0,100,0,0,0,0,18240,0,0,0,356,37
0.031,0,99.969,0,0,0,0,18859,942,0,0,348,81
0,0,100,0,0,0,0,17474,116,0,0,343,38
0.062,0.062,99.875,0,0,0,0,20871,3234,0,0,547,209
0.312,1.091,98.597,0,0,0,0,193170159,269784,0,0,4697,8442
19.937,6.835,73.165,0.063,0,0,49152,71130430,255804352,0,0,9004,13178
0,0,100,0,0,0,0,16800,257,0,0,337,61
7.608,1.715,90.677,0,0,0,0,263800213,660052,0,0,12422,22295
14.371,5.240,79.981,0.408,0,0,1687552,267027,255617256,0,0,6513,6020
6.155,1.073,92.771,0,0,0,0,263799222,383920,0,0,6236,23748
15.941,4.943,79.116,0,0,0,0,391855,255557485,0,0,7419,7228
0.188,1.313,98.468,0.031,0,0,12288,248064067,309228,0,0,5040,9288
21.438,12.531,66.031,0,0,0,0,16163667,255778936,0,0,66280,17169
0.063,0.094,99.843,0,0,0,0,179401099,242897,0,0,5413,7409
20.593,9.902,69.505,0,0,0,0,84777516,255678218,0,0,307411,12056
0.094,0.063,99.843,0,0,0,0,104739978,145357,0,0,3658,4574
21.889,7.549,70.562,0,0,0,0,159376624,187966021,0,0,254385,14560
0.031,0.219,99.718,0.031,0,0,12288,53713047,68165445,0,0,2843,2162
21.982,8.161,69.856,0,0,0,0,210386395,143032342,0,0,176474,15870
0,0.125,99.875,0,0,0,0,10480363,112819649,0,0,3121,1119
20.513,7.661,71.826,0,0,0,0,253665605,105593900,0,0,104047,25107
1.508,0.157,98.335,0,0,0,0,180054,150632419,0,0,2766,796
18.976,5.749,75.275,0,0,0,0,263909285,78202517,0,0,49502,17618
3.419,0.376,96.142,0.063,0,0,12288,271196,177807774,0,0,7018,1621
8.410,9.042,82.548,0,0,0,0,263802022,424527,0,0,84371,15182
14.188,4.241,81.572,0,0,0,0,428792,255558392,0,0,35298,10405
0.031,0,99.969,0,0,0,0,17025,203,0,0,342,56
0,0,100,0,0,0,0,17822,372,0,0,370,141
0,0,100,0,0,0,0,17580,0,0,0,349,47
0,0,99.969,0.031,0,0,12288,18660,0,0,0,345,62
0,0,100,0,0,0,0,19756,306,0,0,385,65
0.532,0.219,99.249,0,0,0,0,25411,4435,0,0,1429,689
0,0.094,99.906,0,0,0,0,19346,1526,0,0,581,318
0,0,100,0,0,0,0,18480,0,0,0,338,43
