"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node0_dstat_lr_original.csv",,,,"Date:","29 Apr 2019 16:17:48 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.244,0.082,99.672,0.002,0,9699.248,856689.859,0,0,0,0,867.997,3072.388
0.876,0.350,98.774,0,0,0,0,19677,9012,0,0,2095,1287
0.125,0.050,99.825,0,0,0,0,13528,1989,0,0,692,349
0.025,0,99.975,0,0,0,0,7740,0,0,0,169,52
0,0.025,99.975,0,0,0,1413120,7320,0,0,0,424,46
0.025,0,99.975,0,0,0,81920,5820,0,0,0,158,127
0.475,0.175,99.350,0,0,0,0,11545,3762,0,0,1087,599
5.408,8.563,86.029,0,0,0,0,6468,946,0,0,7119,716
2.251,0.375,97.374,0,0,0,0,6570,2948,0,0,515,278
3.117,1.106,95.777,0,0,0,0,7068,2424,0,0,3368,50584
3.931,0.676,95.393,0,0,0,352256,6480,0,0,0,3114,31861
4.055,0.726,95.219,0,0,0,32768,6000,0,0,0,3906,33800
4.190,0.823,94.988,0,0,0,0,6180,0,0,0,3924,32189
3.690,0.728,95.582,0,0,0,0,6900,0,0,0,3978,32688
3.472,0.629,95.899,0,0,0,0,7020,0,0,0,3592,30528
3.736,0.627,95.637,0,0,0,0,7200,0,0,0,3474,30614
3.840,0.527,95.633,0,0,0,24576,7080,0,0,0,4045,32281
3.354,0.555,96.091,0,0,0,12288,6180,0,0,0,3956,32213
3.200,0.554,96.246,0,0,0,0,6300,0,0,0,3342,28257
3.289,0.854,95.857,0,0,0,0,5400,0,0,0,3505,29292
3.499,0.579,95.922,0,0,0,0,5520,0,0,0,4154,31527
3.354,0.605,96.040,0,0,0,0,5460,0,0,0,3887,32993
3.493,0.503,96.004,0,0,0,4096,5940,0,0,0,3426,28469
3.241,0.754,96.005,0,0,0,12288,6720,0,0,0,3287,28210
3.318,0.779,95.902,0,0,0,0,6720,0,0,0,3569,29959
3.696,0.528,95.776,0,0,0,0,6720,0,0,0,4017,32509
3.589,0.703,95.708,0,0,0,0,6960,0,0,0,3738,30266
3.536,0.828,95.636,0,0,0,0,6780,0,0,0,4205,30017
3.327,0.554,96.119,0,0,0,4096,7080,0,0,0,3783,29441
3.223,0.932,95.845,0,0,0,12288,6846,132,0,0,4400,32970
3.690,0.703,95.607,0,0,0,0,7020,0,0,0,3970,30719
3.858,0.676,95.466,0,0,0,0,7740,0,0,0,3829,30609
3.473,0.654,95.873,0,0,0,0,8040,0,0,0,3920,30629
3.368,0.779,95.853,0,0,0,0,7320,157,0,0,3761,29815
3.584,0.777,95.639,0,0,0,4096,8220,0,0,0,3541,28093
3.496,0.654,95.850,0,0,0,12288,7680,0,0,0,3643,30245
3.573,0.604,95.823,0,0,0,0,7380,0,0,0,4013,31743
3.669,0.603,95.728,0,0,0,0,6960,0,0,0,3618,32188
3.417,0.704,95.879,0,0,0,0,7080,42,0,0,3240,29790
3.837,0.552,95.612,0,0,0,0,6300,0,0,0,3630,30508
3.480,0.530,95.990,0,0,0,4096,5820,0,0,0,4014,33335
3.665,0.703,95.633,0,0,0,12288,5760,0,0,0,3901,32651
3.540,0.653,95.807,0,0,0,0,5340,0,0,0,3335,29811
3.494,0.603,95.902,0,0,0,0,5700,0,0,0,3362,30255
3.319,0.779,95.901,0,0,0,0,6360,0,0,0,3553,29920
3.684,0.652,95.664,0,0,0,0,6540,0,0,0,3628,29704
3.290,0.753,95.957,0,0,0,4096,6240,0,0,0,3278,27645
3.725,0.900,95.375,0,0,0,12288,6960,0,0,0,3274,30187
3.611,0.853,95.537,0,0,0,0,6600,0,0,0,3856,32041
3.378,0.655,95.967,0,0,0,0,7500,0,0,0,3773,33230
3.591,0.628,95.781,0,0,0,0,8220,0,0,0,3564,30792
3.594,0.528,95.878,0,0,0,0,7680,0,0,0,3461,30114
3.687,0.828,95.485,0,0,0,4096,8400,0,0,0,3987,32165
2.331,0.677,96.992,0,0,0,12288,10005,4133,0,0,3384,12411
0.851,0.351,98.798,0,0,0,0,17335,7618,0,0,1989,1178
