"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node1_dstat_lr_SYNC.csv",,,,"Date:","29 Apr 2019 16:45:03 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.123,0.045,99.830,0.002,0,8955.720,790888.531,0,0,0,0,589.688,904.502
0,0,100,0,0,0,0,5520,0,0,0,212,124
0.525,0.300,99.175,0,0,0,0,13966,6956,0,0,1479,814
0.525,0.225,99.250,0,0,0,1634304,17324,4358,0,0,1439,840
0,0.025,99.975,0,0,0,0,6480,0,0,0,187,55
0,0,100,0,0,0,0,6300,0,0,0,162,116
0.075,0.025,99.900,0,0,0,0,8797,2505,0,0,334,101
5.200,8.600,86.200,0,0,0,0,9220,2203,0,0,7339,89746
2.301,0.350,97.349,0,0,0,598016,6060,1232,0,0,631,372
1.151,0.951,97.898,0,0,0,0,7810,6878,0,0,608,27300
0.350,0.025,99.625,0,0,0,0,9508,12193,0,0,413,370
0.750,0.075,99.175,0,0,0,0,562610,568693,0,0,766,2291
2.487,0.201,97.312,0,0,0,0,2921355,2953383,0,0,3249,11357
1.625,0.275,98.100,0,0,0,0,1740473,1756514,0,0,1973,6834
1.675,0.175,98.150,0,0,0,12288,1739925,1756015,0,0,2015,6732
2.726,0.400,96.873,0,0,0,0,2955899,2987506,0,0,3215,11480
0.475,0.050,99.475,0,0,0,0,528515,525806,0,0,754,2018
3.131,0.451,96.418,0,0,0,0,3476533,3515186,0,0,3799,13443
0.576,0.050,99.374,0,0,0,0,665937,667961,0,0,1570,2659
2.454,0.451,97.095,0,0,0,0,2816644,2846292,0,0,3450,11074
1.678,0.200,98.122,0,0,0,12288,1844583,1862570,0,0,2095,7215
1.352,0.250,98.397,0,0,0,0,1635969,1652547,0,0,1926,6391
2.554,0.351,97.095,0,0,0,0,2883382,2914816,0,0,3129,11052
0.501,0.050,99.449,0,0,0,0,595701,597825,0,0,772,2345
3.040,0.251,96.709,0,0,0,0,3439517,3476808,0,0,3713,13321
1.073,0.874,98.053,0,0,0,0,47331,41723,0,0,2094,1832
0.100,0.150,99.750,0,0,0,61440,10085,4800,0,0,582,383
