"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-1.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node1_dstat_lr_claudio.csv",,,,"Date:","29 Apr 2019 18:55:14 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.103,0.041,99.854,0.002,0,6546.506,580769.418,0,0,0,0,501.406,808.434
0,0,100,0,0,0,0,7980,0,0,0,214,43
0,0,100,0,0,0,0,7620,0,0,0,184,112
0.075,0.050,99.875,0,0,0,0,11577,3269,0,0,364,111
0.827,0.426,98.747,0,0,0,1454080,14581,6552,0,0,2334,1279
0.025,0.075,99.900,0,0,0,0,12006,1487,0,0,339,264
0,0.025,99.975,0,0,0,0,7140,0,0,0,183,116
0.050,0.025,99.925,0,0,0,0,8099,1393,0,0,314,54
4.811,8.294,86.896,0,0,0,0,10830,3314,0,0,6025,90862
2.351,0.325,97.324,0,0,0,733184,7200,0,0,0,1586,594
1.751,1.301,96.948,0,0,0,0,16868,19837,0,0,965,28617
3.741,0.854,95.405,0,0,0,0,9193348,9219124,0,0,8249,30828
4.078,0.876,95.046,0,0,0,0,9292109,9314326,0,0,8429,31219
3.796,0.679,95.525,0,0,0,0,9153789,9178383,0,0,8707,30614
3.465,0.829,95.707,0,0,0,45056,8049951,8070118,0,0,7576,27147
3.748,0.730,95.522,0,0,0,0,9433405,9426477,0,0,8828,31453
3.765,0.853,95.382,0,0,0,0,9191678,9212536,0,0,8148,30733
3.816,0.728,95.456,0,0,0,0,9222599,9247290,0,0,8424,30724
3.341,0.829,95.830,0,0,0,0,8017982,8068322,0,0,7259,26831
3.821,0.679,95.500,0,0,0,16384,9328467,9352340,0,0,8503,31192
2.655,1.202,96.143,0,0,0,0,4152455,4129943,0,0,5048,15540
0.475,0.375,99.150,0,0,0,0,10618,4576,0,0,1349,875
