"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-3.cmonta9-hw2cs494.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node3_dstat_lr_original.csv",,,,"Date:","29 Apr 2019 15:59:44 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.079,0.035,99.884,0.002,0,10265.654,906503.330,0,0,0,0,517.639,524.436
0,0.025,99.975,0,0,0,1314816,7680,0,0,0,429,84
0,0,100,0,0,0,0,7740,0,0,0,145,35
0,0,100,0,0,0,0,9000,0,0,0,205,32
0,0,100,0,0,0,0,8160,0,0,0,189,104
0.901,0.400,98.699,0,0,0,0,20272,9259,0,0,2162,1259
4.378,8.381,87.240,0,0,0,45056,19793,6697,0,0,6324,177819
2.270,0.624,97.107,0,0,0,647168,7800,0,0,0,1640,560
1.854,0.977,97.169,0,0,0,0,13772,11128,0,0,779,26908
3.509,0.727,95.764,0,0,0,0,8855878,8876260,0,0,7778,27200
3.583,0.827,95.590,0,0,0,0,9299539,9280477,0,0,8086,28508
3.583,0.777,95.640,0,0,0,0,9331531,9312936,0,0,8144,28427
3.314,0.879,95.807,0,0,0,32768,9401476,9383760,0,0,8690,28893
3.924,0.725,95.351,0,0,0,0,9471501,9445469,0,0,8620,29160
3.561,0.677,95.762,0,0,0,0,9298341,9245095,0,0,7885,28315
3.774,0.775,95.451,0,0,0,0,9231605,9243038,0,0,7772,28268
3.291,0.779,95.931,0,0,0,0,9333319,9314656,0,0,8187,28567
3.442,0.628,95.930,0,0,0,0,9295464,9279518,0,0,8009,28230
3.389,0.904,95.707,0,0,0,57344,9471216,9450924,0,0,8710,28990
3.461,0.778,95.761,0,0,0,0,9365540,9314634,0,0,8008,28437
3.776,0.775,95.449,0,0,0,0,9126380,9140735,0,0,8726,27981
3.320,0.578,96.102,0,0,0,0,8748436,8728615,0,0,8390,26771
3.215,0.829,95.956,0,0,0,0,8851131,8832165,0,0,8263,27175
3.655,0.651,95.694,0,0,0,0,8849707,8833001,0,0,8262,27109
3.168,0.855,95.977,0,0,0,49152,9057595,9037330,0,0,8079,27852
3.510,0.802,95.688,0,0,0,0,9366567,9344893,0,0,8099,28520
3.196,0.755,96.049,0,0,0,0,9299999,9276923,0,0,7848,28471
3.268,0.754,95.978,0,0,0,0,9264642,9244092,0,0,7994,28182
3.067,0.905,96.028,0,0,0,0,8951461,8931583,0,0,7761,27369
3.497,1.074,95.428,0,0,0,0,9470977,9452377,0,0,8261,28884
3.143,0.805,96.052,0,0,0,12288,8920107,8898479,0,0,8014,27312
3.142,0.880,95.978,0,0,0,0,9266062,9243803,0,0,8011,28329
3.652,0.800,95.548,0,0,0,0,8990050,8968160,0,0,7927,27664
3.748,0.775,95.477,0,0,0,0,8989482,8968907,0,0,7631,27446
3.244,0.654,96.103,0,0,0,0,8885054,8863117,0,0,7255,27012
3.887,0.947,95.166,0,0,0,0,9024093,9001210,0,0,7511,27514
3.632,0.952,95.416,0,0,0,12288,9367515,9344560,0,0,9120,28771
3.176,0.605,96.219,0,0,0,0,9436537,9381537,0,0,8169,28874
3.675,0.850,95.475,0,0,0,4096,9093089,9104837,0,0,7907,27872
3.252,1.151,95.597,0,0,0,0,8955654,8933206,0,0,7908,27345
3.913,0.922,95.165,0,0,0,0,8988848,8936677,0,0,7973,27380
3.333,0.927,95.739,0,0,0,0,8784509,8794494,0,0,7686,26836
3.290,0.829,95.881,0,0,0,12288,9164390,9108297,0,0,7883,27872
3.487,0.728,95.785,0,0,0,40960,9302419,9311242,0,0,8081,28367
3.218,0.804,95.978,0,0,0,0,9265934,9244817,0,0,7893,28249
3.732,0.676,95.592,0,0,0,0,9335317,9313592,0,0,8018,28347
3.317,0.754,95.930,0,0,0,0,9127954,9107776,0,0,7964,27801
3.512,0.728,95.760,0,0,0,0,9302179,9279476,0,0,8105,28570
3.411,0.778,95.811,0,0,0,196608,9402173,9348857,0,0,8178,28662
3.389,0.728,95.884,0,0,0,0,9298614,9277176,0,0,7821,28350
3.485,0.878,95.637,0,0,0,0,9472083,9451607,0,0,8419,28778
3.411,0.878,95.711,0,0,0,0,9473197,9484644,0,0,8461,29090
3.540,0.678,95.782,0,0,0,0,9471544,9450601,0,0,8674,28998
3.285,0.903,95.812,0,0,0,0,9025839,9004765,0,0,7967,27515
3.383,0.877,95.740,0,0,0,12288,8989493,8970415,0,0,7834,27375
3.262,0.828,95.910,0,0,0,0,8989608,8969313,0,0,7837,27443
3.337,0.853,95.810,0,0,0,0,9194131,9175082,0,0,8193,27908
3.634,0.752,95.614,0,0,0,0,9505926,9452364,0,0,8350,28799
3.049,0.882,96.069,0,0,0,0,9437048,9450707,0,0,8312,28678
3.730,0.776,95.494,0,0,0,0,9539105,9518743,0,0,8666,29098
3.536,0.853,95.612,0,0,0,12288,9505452,9485113,0,0,8612,29194
3.315,0.879,95.806,0,0,0,0,9507831,9486363,0,0,8452,29008
3.291,0.854,95.855,0,0,0,0,9505668,9452059,0,0,8514,29059
3.460,0.853,95.687,0,0,0,0,9412052,9418271,0,0,8165,28783
3.537,0.627,95.835,0,0,0,0,9084583,9040023,0,0,8064,27763
3.167,0.804,96.028,0,0,0,0,8886666,8865408,0,0,7639,27076
3.628,0.776,95.597,0,0,0,28672,8955394,8968916,0,0,7753,27269
2.920,0.906,96.174,0,0,0,0,9196135,9176472,0,0,7740,28030
3.535,0.752,95.713,0,0,0,0,9504030,9487043,0,0,8142,29043
